Nama,Harga
VGEN SODIMM DDR4 PC17000 4GB,Rp205.000
VGEN SODIMM DDR3 PC10600 8GB,Rp248.000
CORSAIR SODIMM DDR3 8GB,Rp787.000
CORSAIR SODIMM DDR3 8GB,Rp698.000
ADATA SODIMM DDR5 PC44800 5600MHZ 8GB,Rp493.000
CRUCIAL SODIMM DDR5 PC44800 5600MHZ 8GB,Rp505.000
TEAM ELITE SODIMM DDR5 PC38400 4800MHZ 16GB,Rp782.000
CRUCIAL SODIMM DDR4 PC25600 3200MHZ 8GB,Rp333.000
GSKILL RIPJAWS SODIMM DDR5 PC41600RS 16GB,Rp794.000
TEAM TCREATE CLASSIC 10L SODIMM DDR4 PC25600 8GB,Rp417.000
CRUCIAL SODIMM DDR5 PC38400 4800MHZ 16GB,Rp756.000
VENOMRX SODIMM DDR4 PC25600 8GB,Rp260.000
VENOMRX SODIMM DDR4 PC21000 16GB,Rp426.000
CRUCIAL SODIMM DDR5 PC38400 4800MHZ 8GB,Rp396.000
CRUCIAL SODIMM DDR4 PC25600 3200MHZ 16GB,Rp661.000
CRUCIAL SODIMM DDR5 PC38400 4800MHZ 32GB,Rp1.424.000
CRUCIAL SODIMM DDR5 PC38400 4800MHZ 32GB,Rp1.424.000
KINGSTON FURY IMPACT SODIMM DDR4 8GB,Rp401.000
ADATA SODIMM DDR5 PC38400 8GB,Rp430.000
CORSAIR SODIMM DDR4 32GB,Rp1.408.000
KLEVV SODIMM DDR5 VALUE SERIES PC38400 16GB,Rp740.000
CORSAIR SODIMM DDR4 16GB,Rp787.000
TRANSCEND JETRAM SODIMM DDR4 PC25600 3200MHZ 16GB,Rp610.000
KINGSTON SODIMM DDR4 8GB,Rp324.000
LEXAR SODIMM DDR4 PC21300 2666MHZ 8GB,Rp339.000
TRANSCEND JETRAM SODIMM DDR4 PC25600 3200MHZ 8GB,Rp351.000
TEAM ZEUS SODIMM DDR4 PC25600 8GB,Rp312.000
TEAM ZEUS SODIMM DDR4 PC25600 16GB,Rp531.000
TEAM ZEUS SODIMM DDR4 PC25600 32GB,Rp1.022.000
KINGSTON SODIMM DDR4 8GB,Rp448.000
GSKILL SODIMM DDR4 PC25600 8GB,Rp326.000
APACER SODIMM DDR4 PC25600 3200MHZ 8GB,Rp323.000
APACER SODIMM DDR4 PC25600 3200MHZ 16GB,Rp584.000
VENOMRX SODIMM DDR4 PC19200 4GB,Rp279.000
CORSAIR SODIMM DDR4 16GB,Rp777.000
VGEN PLATINUM SODIMM DDR2 2GB,Rp380.000
CORSAIR SODIMM DDR4 32GB,Rp1.455.000
RAM VENOMRX SODIMM DDR4 PC19200 8GB,Rp456.000
PATRIOT SODIMM DDR4 VIPER STEEL SERIES PC21300 8GB,Rp413.000
RAM ADATA SODIMM DDR4 PC21330 2666MHZ 16GB,Rp519.000
RAM KINGSTON SODIMM DDR4 8GB,Rp498.000
VENOMRX SODIMM DDR3 PC12800 8GB,Rp138.000
ADATA SODIMM DDR4 PC21330 2666MHZ 8GB,Rp290.000
ADATA SODIMM DDR4 PC21330 2666MHZ 4GB,Rp264.000
VGEN PLATINUM SODIMM DDR3 2GB,Rp133.000
VGEN RESCUE SODIMM DDR4 16GB,Rp493.000
VGEN RESCUE SODIMM DDR3 2GB,Rp111.000
CRUCIAL SODIMM DDR4 8GB,Rp362.000
GSKILL SODIMM DDR4 PC21300 8GB,Rp355.000
GSKILL SODIMM DDR4 PC21300 8GB,Rp675.000
PATRIOT SODIMM DDR4 PC19200 16GB,Rp1.042.000
PATRIOT SODIMM DDR4 PC19200 8GB,Rp658.000
PATRIOT SODIMM DDR4 PC19200 4GB,Rp356.000
PATRIOT SODIMM DDR4 PC19200 16GB,Rp1.042.000
PATRIOT SODIMM DDR3 PC12800 8GB,Rp604.000
TEAM VULCAN SODIMM DDR4 PC21300 8GB,Rp563.000
TEAM VULCAN SODIMM DDR4 PC21300 16GB,Rp938.000
TEAM ELITE SODIMM DDR4 PC17000 4GB,Rp323.000
TEAM ELITE SODIMM DDR4 PC17000 8GB,Rp469.000
TEAM ELITE SODIMM DDR4 PC19200 8GB,Rp323.000
TEAM ELITE SODIMM DDR3 PC12800 8GB,Rp547.000
TEAM ELITE SODIMM DDR3 PC12800 8GB,Rp291.000
TEAM ELITE SODIMM DDR3 PC12800 8GB,Rp291.000
TEAM ELITE SODIMM DDR3 PC12800 4GB,Rp173.000
TEAM ELITE SODIMM DDR3 PC12800 2GB,Rp222.000
CORSAIR DDR5 DOMINATOR TITANIUM RGB PC48000 64GB,Rp5.536.000
KINGSTON FURY BEAST DDR5 5200MHZ PC41600 8GB,Rp557.000
GSKILL DDR4 RIPJAWSV PC28800 8GB,Rp369.000
RAM CORSAIR DDR5 VENGEANCE PC48000 64GB,Rp3.936.000
ADATA DDR5 XPG LANCER RGB PC48000 6000MHZ 32GB,Rp2.180.000
ADATA DDR5 XPG CASTER RGB PC51200 6400MHZ 32GB,Rp2.321.000
ADATA DDR5 XPG CASTER RGB PC48000 6000MHZ 32GB,Rp2.019.000
ADATA DDR4 XPG SPECTRIX D35G RGB WHITE PC25600 3200MHZ 32GB,Rp1.356.000
ADATA DDR4 XPG SPECTRIX D35G RGB PC25600 3200MHZ 32GB,Rp1.356.000
CUBE GAMING EXCALIBUR DDR5 5200MHZ PC41600 16GB,Rp879.000
CUBE GAMING EXCALIBUR DDR5 5200MHZ PC41600 DUAL CHANNEL 32GB,Rp1.644.000
CORSAIR DDR5 DOMINATOR TITANIUM RGB PC48000 32GB,Rp3.321.000
CORSAIR DDR5 VENGEANCE PC41600 32GB,Rp1.930.000
CORSAIR DDR5 VENGEANCE RGB PC48000 32GB,Rp2.279.000
GSKILL DDR5 TRIDENT Z5 RGB PC48000 64GB,Rp3.966.000
KINGSTON FURY BEAST RGB DDR4 3200MHZ 16GB,Rp949.000
RAM PNY XLR8 MAKO EPICX RGB DDR5 PC51200 6400MHZ 32GB,Rp2.253.000
TEAM DELTA RGB DDR5 PC48000 6000MHZ 64GB,Rp4.075.000
TEAM ELITE PLUS BLACK DDR5 PC44800 64GB,Rp3.536.000
TEAM ELITE PLUS SILVER DDR5 PC44800 64GB,Rp3.536.000
TEAM TCREATE CLASSIC DDR5 PC44800 64GB,Rp3.495.000
TEAM TCREATE EXPERT OC10L DDR4 PC28800 32GB,Rp1.267.000
