Nama,Harga
MSI SPATIUM M480 PRO M2 NVME PCIE GEN 4X4 2TB WITH HEATSINK,Rp2.936.000
SSD ADATA XPG GAMM9 S70 BLADE 512GB PCIE GEN 4X4,Rp909.000
SSD ADATA XPG GAMM9 S70 BLADE 2TB PCIE GEN 4X4,Rp2.450.000
SSD ADATA LEGEND 850 LITE 500GB NVME PCIE GEN 4X4,Rp765.000
SSD ADATA LEGEND 850 LITE 2TB NVME PCIE GEN 4X4,Rp2.231.000
SSD ADATA LEGEND 710 2TB M2 NVME,Rp2.261.000
TRANSCEND ESD270C 500GB PORTABLE SSD USB,Rp923.000
V GEN SSD PORTABLE PLATINUM 2TB,Rp2.697.000
V GEN SSD PORTABLE PLATINUM 1TB,Rp1.460.000
V GEN SSD PORTABLE PLATINUM 256GB,Rp557.000
V GEN SSD PORTABLE PLATINUM 128GB,Rp359.000
CRUCIAL BX500 SSD 1TB 3D NAND SATA3,Rp1.298.000
CORSAIR MP600 GS 2TB M2 NVME PCIE GEN 4X4,Rp3.470.000
CORSAIR MP600 GS 1TB M2 NVME PCIE GEN 4X4,Rp1.794.000
WD MY PASSPORT SSD 1TB,Rp1.835.000
SANDISK SSD EXTREME E61 PORTABLE 2TB,Rp2.838.000
KINGSTON SSD NV2 2TB M2 NVME PCIE GEN 4X4,Rp2.180.000
KLEVV SSD CRAS C910 500GB M2 2280 NVME PCLE GEN 4X4,Rp843.000
KLEVV SSD CRAS C730 2TB M2 2280 NVME PCLE GEN 3X4,Rp2.100.000
PNY CS900 SERIES 500GB,Rp629.000
WDC GREEN SSD 1TB SATA 2I,Rp1.084.000
PNY CS900 SERIES 1TB,Rp1.032.000
KINGSTON KC3000 SKC3000S,Rp1.173.000
KLEVV S1 PORTABLE SSD 2TB USB GEN2 TYPE C,Rp2.706.000
KLEVV S1 PORTABLE SSD 1TB USB GEN2 TYPE C,Rp1.696.000
PNY CS2241 SERIES M2 2280 NVME PCIE GEN 4X4 2TB,Rp2.159.000
PNY XLR8 GAMING CS3140 M2 2280 NVME PCIE GEN 4X4 2TB,Rp2.671.000
MSI SPATIUM M371 M2 NVME PCIE GEN 3X4 1TB,Rp1.220.000
WD ELEMENTS SE SSD 2TB,Rp2.376.000
PNY XLR8 GAMING CS3140 M2 2280 NVME PCIE GEN 4X4 1TB,Rp1.575.000
TEAM MP33 2TB TLC NVME PCIE GEN 3X4 M2 2280,Rp1.955.000
ACE POWER SSD A1 512GB SATA3,Rp619.000
WDC BLACK SN850X SSD 1TB M2 NVME PCIE GEN 4X4,Rp1.721.000
MSI SPATIUM M450 M2 NVME PCIE GEN 4X4 1TB,Rp1.324.000
KINGSTON SSD NV2 1TB M2 NVME PCIE GEN 4X4,Rp1.079.000
SEAGATE FIRECUDA 530 HEATSINK SSD 2TB M2 PCIE GEN 4X4,Rp4.301.000
PNY CS1031 M2 2280 NVME PCIE GEN 3X4 256GB,Rp432.000
KINGSTON SSD NV2 500GB M2 NVME PCIE GEN 4X4,Rp735.000
KINGDIAN S370 128GB SSD SATA 2I,Rp200.000
VENOMRX VRX 128GB MAX R545MB,Rp193.000
SAMSUNG T7 SHIELD PORTABLE 2TB USB EXTERNAL SSD 2TB,Rp4.008.000
SAMSUNG T7 SHIELD PORTABLE 1TB USB EXTERNAL SSD 1TB,Rp2.399.000
MSI SPATIUM M371 M2 NVME PCIE GEN 3X4 500GB,Rp782.000
CORSAIR MP600 PRO XT 2TB M2 NVME PCIE GEN 4X4 F2000GBMP600PXT,Rp3.535.000
TRANSCEND ESD380C 1TB PORTABLE SSD USB,Rp1.930.000
SANDISK SSD E30 PORTABLE 1TB,Rp1.481.000
PARADOX GAMING CORE SSD 1TB SATA3,Rp855.000
PARADOX GAMING BALLISTA SSD 512GB M2 NVME 2242,Rp552.000
PATRIOT P210 SATA3 256GB,Rp369.000
MSI SPATIUM S270 SSD 240GB SATA3,Rp406.000
VENOMRX VRX 512GB,Rp530.000
SEAGATE FIRECUDA 530 SSD 500GB M2 PCIE GEN4 �4,Rp1.486.000
