Nama,Harga
VGA GTX 1660 SUPER, LIKE NEW BERGARANSI,Rp1.850.000
4K Multiple Monitor Display (USB 3.0 Multiview) Extend up to 8 Monitor,Rp1.450.000
NVIDIA GeForce RTX 2060 Graphics Card GPU VGA - ASUS RESMI SECOND,Rp2.550.000
ASUS ROG STRIX RTX 4090 OC 24GB GDDR6X,Rp38.990.000
ASUS Dual Radeon RX 7600 XT 16GB OC Edition,Rp5.904.000
GPD G1 2024  Graphics Card Expansion Dock eGPU RX 7600M XT UPDATED,Rp11.499.000
VGA Colorful Geforce GTX 1650 EX 4GB-V 4GB - 4 GB GDDR6,Rp2.155.000
XFX Speedster SWFT 210 AMD Radeon� RX 6600 8GB GDDR6,Rp3.099.000
VGA RX VEGA 56 LIKE NEW, BERGARANSI,Rp1.499.999
VGA RTX 3070 TI GAMING X TRIO, MURAH, GARANSI 2025, KHUSUS SULTAN,Rp6.199.999
VGA RX 6700 XT, LIKE NEW, FULLSET BERGARANSI!,Rp3.850.000
VGA RTX 2060 SUPER 8GB, LIKE NEW, BERGARANSI,Rp2.650.000
TARASQ VGA RX 580 8GB VGA Card DDR5 256Bit 2048SP GARANSI RESMI V1,Rp1.230.000
ASROCK Intel ARC A770 Challenger OC 16GB GDDR6 ,Rp5.590.000
ZOTAC GAMING GEFORCE RTX 4060 Ti 16GB AMP,Rp7.059.000
PowerColor R7 240 2GB DDR5,Rp535.000
CT katrid kepala VVDO VTEK SP2S ori harga satuan,Rp22.000
ASROCK Intel ARC A310 Low Profile 4GB OC GDDR6,Rp1.690.000
MSI GeForce RTX 4060 VENTUS 2X WHITE OC 8GB GDDR6 - WHITE,Rp5.640.000
AMD Radeon R5 240 1GB GDDR3 Video Graphics Card Dell 0W42M3 W42M3,Rp195.000
INTEL ARC A750 8GB GDDR6 256Bit Limited Edition,Rp3.825.000
VGA R47 1GB 64BIT DDR3 AMD RADEON COPOTAN BUILD UP MULUSS BANGET,Rp150.000
NVIDIA GEFORCE GTX 1660 SUPER / GTX 1660 Ti 6GB DDR6 192BIT GPU CARD ,Rp1.855.000
VGA Digital Alliance GT730 4GB DDR3,Rp525.000
Midasforce VGA NVIDIA GT610 2GB DDR3 64BIT BOX - Midas Force,Rp340.000
VGA Zotac GTX 1650 SUPER | GTX 1650S | GTX1650 SUPER Gaming Twin Fan,Rp1.850.000
VVDO ori set variasi,Rp37.000
p104-100 oem palit,Rp660.000
ASUS ROG Herculx Graphics Card Holder,Rp652.000
Asus GeForce RTX 3060 12GB GDDR6 - Dual OC White Edition,Rp4.930.000
VURRION GT610 DDR3 2GB Vga Card Nvidia,Rp315.000
GIGABYTE GeForce RTX 4060 8GB Eagle OC,Rp5.577.000
E-FFOXPRO AMD R7 350 2GB D5 128BIT NEW !!!original garansi 2 tahun,Rp599.001
SAPPHIRE PURE Radeon RX 7800 XT Gaming OC 16GB GDDR6 RDNA 3 RX7800XT,Rp8.990.000
ZOTAC GAMING Nvidia GeForce RTX 4080 SUPER Trinity OC White 16GB DDR6X,Rp16.760.000
VGA GTX 1050TI / 1050 TI 4GB GDDR5 non pin 75W HEMAT DAYA,Rp1.377.500
Intel ARC A750 8GB GDDR6 - Limited Edition,Rp4.069.000
EZDIY-FAB VGA PCIe 8 Pin 180 Degree Angle adapter - BLACK,Rp50.000
XFX Speedster QICK 319 Radeon RX 7800 XT Core Edition 16GB GDDR6,Rp8.550.000
ASUS TUF Gaming Radeon RX 7600 XT OC Edition 16GB GDDR6,Rp6.190.000
VGA GTX 550 TI 1GB 128BIT DDR5 MAGIX ORIGINAL,Rp375.000
Powercolor Radeon RX 6500 XT Fighter,Rp2.278.000
GALAX GeForce RTX 4060 1-Click OC 2X 8GB GDDR6,Rp5.180.000
VGA CARD COLORFUL GTX 1650 4GB DDR6 128bit GEFORCE NVIDIA,Rp2.204.000
VGA Midasforce GT610 DDR3 64bit 2GB LP Garansi 2 Tahun,Rp340.000
INNO3D GEFORCE RTX 4090 X3 ICHILL ,Rp31.300.000
VGA GTX 750 Ti 2GB 128Bit GDDR5,Rp800.000
MSI GeForce RTX� 3060 VENTUS 2X 12G OC GDDR6 192bit [GPU],Rp5.080.000
GameMax GPU-192 Black VGA Holder / GPU Holder,Rp89.000
VGA P104 PALIT 8GB,Rp670.000
VGA Digital Alliance Geforce GT 610 2GB - 2 GB DDR3,Rp310.000
VenomRx VGA RX 580 8GB 2048SP GDDR5 256Bit HDMI DVI AMD Radeon,Rp1.400.000
sparepart R.B.K card OXVVA XLIM 0.6 baru,Rp18.000
VGA CARD  GTX 1660 Super / GTX 1660 Ti 6gb 192 bit ddr6,Rp1.850.000
VGA PCIE 1GB 192BIT DDR5 GTX 550TI,Rp350.000
VGA Card Palit GeForce RTX 3060 Dual - 12GB GDDR6,Rp4.620.000
VGA PNY GTX 1660 / GTX1660 SUPER 6GB GDDR6 XLR8 Gaming OC Non LHR 2nd,Rp1.849.000
VGA QWERTY GT610 2GB DDR3 64BIT GEFORCE NVIDIA,Rp275.500
GIGABYTE GeForce RTX�� 4060 GAMING OC 8GB GDDR6,Rp5.850.000
ASUS ROG STRIX GeForce RTX 4080 SUPER OC 16GB GDDR6X - OC Edition,Rp23.280.000
GIGABYTE GeForce RTX 4060 AERO OC 8GB GDDR6 128bit,Rp6.049.000
VGA COLORFUL RTX 3050 NB DUO 6G-V GDDR6,Rp3.135.000
VGA ASUS RX 6600 DUAL 8GB DDR6 RESMI 3 Tahun Radeon RX6600 8GB Dual,Rp3.608.000
SAPPHIRE PULSE Radeon RX 7900 XT 20GB Gaming OC,Rp14.386.000
ASUS TUF GeForce RTX 4080 SUPER GAMING OC 16GB GDDR6X,Rp20.790.000
ZOTAC GAMING GeForce RTX 4070 SUPER TWIN EDGE OC 12GB GDDR6X,Rp9.940.000
VGA MSI RTX 3060 VENTUS 2X 12GB OC GDDR6 192-bit / VGA RTX3060,Rp4.960.000
COLORFUL RTX 3050 NB DUO 6GB GDDR6 - DUAL FAN,Rp3.130.000
Gigabyte GeForce RTX 3050 EAGLE OC 6G,Rp3.320.000
MSI MAG A750GL PCIE5,Rp1.691.000
SAPPHIRE NITRO+ Radeon RX 7800 XT 16GB,Rp10.224.000
