Nama,Harga
ASUS ROG STRIX RTX 4090 OC 24GB GDDR6X,Rp38.990.000
ASUS Dual Radeon RX 7600 XT 16GB OC Edition,Rp5.904.000
GPD G1 2024  Graphics Card Expansion Dock eGPU RX 7600M XT UPDATED,Rp11.499.000
VGA Colorful Geforce GTX 1650 EX 4GB-V 4GB - 4 GB GDDR6,Rp2.155.000
XFX Speedster SWFT 210 AMD Radeon� RX 6600 8GB GDDR6,Rp3.099.000
Paket 4K HDMI extender via UTP 1 Transmitter - 4 Receiver (cascade),Rp3.950.000
VGA COLORFUL GEFORCE GT 710 2GB GDDR3-V,Rp535.000
Vga Quadro K1200 4gb 128bit DDR5,Rp1.100.000
PNY Nvidia CMP 70HX 8GB GDDR6 X - CMP70HX Mining VGA,Rp12.000.000
Vga PCIe Gtx960 2Gb 128Bit Ddr5,Rp825.000
YESTON Radeon RX 6800 16GB GDDR6,Rp6.400.000
VGA POWERCOLOR RX 6500 XT - 4GB DDR6 FIGHTER Radeon rx6500xt 6500xt,Rp2.289.000
Vga Colorful gtx 1660 super,Rp1.700.000
VGA Card ASUS ROG Strix GeForce RTX 4070 12GB GDDR6X OC Edition,Rp11.552.000
PENYANGGA GPU STAND VGA BRACKET SUPPORT ADJUSTABLE HOLDER ANTI SAGGING,Rp63.000
VGA RTX 2080 FONDER EDITION HP 8GB GDDR6,Rp2.950.000
DARKFLASH DL240 ARGB VGA HOLDER - WHITE,Rp235.000
Evga P106 setara GTX 1060,Rp490.000
[BARU/NEW] RX 6600M 8GB GDDR6 (bukan RTX 3060 RTX 3060TI),Rp2.400.000
Asrock AMD Radeon RX 6500 XT Phantom Gaming D 4GB OC,Rp2.530.000
TARASQ VGA RX 580 8GB VGA Card DDR5 256Bit 2048SP GARANSI RESMI V1,Rp1.230.000
ZOTAC GAMING GeForce RTX 4060 8GB Twin Edge OC,Rp4.839.000
ASUS Dual GeForce RTX 4060 8GB OC Edition,Rp5.689.000
gtx 1660 super,Rp1.500.000
VGA MSI RTX 4060 VENTUS 2X BLACK 8GB OC GDDR6,Rp5.490.000
VGA R5 340X  2GB AMD MULUS BERGARANSI JURAGAN ,Rp300.000
VGA Card Nvidia VenomRx GT 740 4GB DDR3 128Bit Port HDMI / VGA / DVI-D,Rp645.000
ASUS TUF RX 7800 XT GAMING OC 16GB GDDR6,Rp9.555.000
GIGABYTE GeForce RTX 4060 Ti AERO OC 16GB GDDR6 128-bit [GPU],Rp8.880.000
PNY GeForce RTX 4060 8GB GDDR6 XLR8 Gaming VERTO OC White Dual Fan,Rp5.299.000
VGA SAPPHIRE PULSE RADEON RX 7600 GAMING OC 8GB GDDR6,Rp4.549.000
Colorful GeForce RTX 3050 8GB NB DUO,Rp3.596.000
VGA PCI Express R7 240 2GB Power Color Second,Rp417.000
VGA CARD COLORFUL RTX 3050 ULTRA W DUO OC 8G-V 2 Fan White rtx3050 8gb,Rp3.810.000
Colorful iGame nVidia Geforce GTX 1070 8GB DDR5 U-TOP-8G - TRIPLE FAN,Rp1.750.000
ASUS ROG STRIK AMD RX 470 GB 256 Bit,Rp700.000
ASUS ROG Strix GeForce RTX 4060 8GB OC Edition,Rp7.120.000
vga game warnet 128bit ddr5,Rp395.000
XFX Radeon RX 7900 XT / 7900XT MERC 310 20GB GDDR6 320bit VGA AMD,Rp12.750.000
VGA Card AMD Radeon RX 6500 XT,Rp1.400.000
ASUS ROG Strix GeForce RTX 4070 Ti 12GB GDDR6X OC-ASUS RTX4070Ti O12G,Rp15.395.000
vga quadro k2000 2gb 128bit ddrr5,Rp1.300.000
Vga pci express 1gb 128bit ddr5,Rp575.000
Second SAPPHIRE AMD Radeon HD 5830 HD5830 1GB GDDR5 ,Rp500.000
Vga Vurrion GT 740 2GB GDDR5 128Bit Gaming Vga RESMI AGS,Rp810.000
MSI RADEON RX 6600 MECH 2X 8G GDDR6 128-bit,Rp2.799.001
VGA GIGABYTE RTX 4060 WINDFORCE OC 8GB GDDR6 128Bit,Rp5.215.000
ZOTAC GAMING GeForce RTX 4060 Ti 8GB Twin Edge,Rp6.545.000
ZOTAC RTX 4060 TWIN EDGE OC 8GB GDDR6 - WHITE EDITION,Rp5.060.000
ASUS VGA GeForce GT 730 2GB GDDR5,Rp735.000
VGA NVDIA ZOTAC GAMING GEFORCE RTX 4060 Ti / RTX 4060TI 16GB AMP,Rp7.050.000
PowerColor Radeon RX 550 4GB Red Dragon Low Profile,Rp1.155.000
GALAX Nvidia GeForce RTX 4060 EX White 1-Click OC 8GB DDR6 Gaming,Rp5.320.000
VGA POWERCOLOR RX 7800 XT 16GB D6 OC HELLHOUND | RX 7800XT 16GB GDDR6,Rp9.200.000
MSI VGA RTX 3050 VENTUS 2X 6G OC,Rp3.280.000
ZOTAC GAMING GeForce RTX 4080 SUPER TRINITY BLACK 16GB GDDR6X ,Rp16.410.000
VGA Card Gigabyte GeForce GT 710 - 2GB DDR5,Rp647.000
new lanyard jellybox xs  original,Rp256.000
GIGABYTE GeForce RTX 4070 SUPER 12GB GAMING OC,Rp12.360.000
VGA ASUS GeForce GT 710 2GB SL DDR5 Low Profile Graphics Card Resmi,Rp577.000
VGA ASUS DUAL RX7600 8GB V2 OC Edition,Rp4.625.000
vga Nvidia gtx 550 Ti 1 gb ddr5,Rp350.000
Zotac RTX 3060 Ti Twin Edge OC 8G ,Rp3.899.999
Sapphire RX 580 4Gb Nitro+ - Bekas,Rp1.000.000
Asrock Radeon RX 6600 Challenger D 8GB,Rp3.430.000
Palit Nvidia Geforce RTX 3060 Dual 12GB GDDR6,Rp4.453.000
RTX 2060 ASUS DUAL,Rp2.700.000
MSI GeForce RTX 3050 8GB GDDR6 - Ventus 2X XS OC,Rp4.029.000
VGA ASUS RX 6600XT / RX 6600 XT 8GB OC DUAL 2nd,Rp3.499.999
VGA Midasforce AMD RX 580 8GB GDDR5 256BIT - VGA Midas RX 580,Rp1.590.000
ASROCK Radeon RX 7600 CHALLENGER D 8GB OC GDDR6,Rp4.465.000
LQ OAT DREAM 60 mili,Rp14.000
VGA POWERCOLOR RX 6600XT FIGHTER 8GB DDR6,Rp2.500.000
MSI GeForce RTX 4090 24GB GDDR6X - Gaming X TRIO 24G,Rp34.059.000
POWERCOLOR Hellhound AMD Radeon RX 7700 XT 12GB GDDR6,Rp7.699.000
ASUS ROG STRIX RTX 4090 OC 24GB GDDR6X,Rp38.990.000
ASUS Dual Radeon RX 7600 XT 16GB OC Edition,Rp5.904.000
GPD G1 2024  Graphics Card Expansion Dock eGPU RX 7600M XT UPDATED,Rp11.499.000
VGA Colorful Geforce GTX 1650 EX 4GB-V 4GB - 4 GB GDDR6,Rp2.155.000
XFX Speedster SWFT 210 AMD Radeon� RX 6600 8GB GDDR6,Rp3.099.000
